127.0.0.1 - - [31/Oct/2023:15:30:38 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:30:40 -0300] "GET /MVTur_ViagemMVC/ HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:30:44 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:55:13 -0300] "GET /MVTur_ViagemMVC/ HTTP/1.1" 200 12842
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:55:20 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:55:21 -0300] "GET /MVTur_ViagemMVC/assets/Po.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:55:21 -0300] "GET /MVTur_ViagemMVC/assets/banner2.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:55:21 -0300] "GET /MVTur_ViagemMVC/assets/logo.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:55:21 -0300] "GET /MVTur_ViagemMVC/assets/banner3.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:55:21 -0300] "GET /MVTur_ViagemMVC/assets/rj1.png HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:55:21 -0300] "GET /MVTur_ViagemMVC/assets/passagens%20turquia.png HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:55:21 -0300] "GET /MVTur_ViagemMVC/assets/5.png HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:55:21 -0300] "GET /MVTur_ViagemMVC/assets/3Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:55:21 -0300] "GET /MVTur_ViagemMVC/assets/2Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:55:21 -0300] "GET /MVTur_ViagemMVC/assets/1Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:55:21 -0300] "GET /MVTur_ViagemMVC/assets/instagram.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:55:21 -0300] "GET /MVTur_ViagemMVC/assets/facebook.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:55:21 -0300] "GET /MVTur_ViagemMVC/assets/whatsapp.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:55:34 -0300] "GET /MVTur_ViagemMVC/assets/logo.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:57:25 -0300] "GET /MVTur_ViagemMVC/destinos.html HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:57:26 -0300] "GET /MVTur_ViagemMVC/destinos.html HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [31/Oct/2023:15:57:27 -0300] "GET /MVTur_ViagemMVC/contato.html HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:18 -0300] "GET /MVTur_ViagemMVC/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:18 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:18 -0300] "GET /MVTur_ViagemMVC/assets/banner2.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:18 -0300] "GET /MVTur_ViagemMVC/assets/logo.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:18 -0300] "GET /MVTur_ViagemMVC/assets/5.png HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:18 -0300] "GET /MVTur_ViagemMVC/assets/passagens%20turquia.png HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:18 -0300] "GET /MVTur_ViagemMVC/assets/3Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:19 -0300] "GET /MVTur_ViagemMVC/assets/1Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:19 -0300] "GET /MVTur_ViagemMVC/assets/instagram.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:10:19 -0300] "GET /MVTur_ViagemMVC/assets/facebook.png HTTP/1.1" 404 806
