127.0.0.1 - - [06/Nov/2023:12:34:16 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:35:18 -0300] "GET /MVTur_ViagemMVC/ HTTP/1.1" 200 11397
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:35:22 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:35:22 -0300] "GET /MVTur_ViagemMVC/assets/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:35:22 -0300] "GET /MVTur_ViagemMVC/assets/img/rj1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:35:36 -0300] "GET /MVTur_ViagemMVC/destino HTTP/1.1" 200 8238
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:35:37 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:36:27 -0300] "GET /MVTur_ViagemMVC/livro-update?id=&destino=Brasilia&origem=Sao+Paulo&partida=13%2F12%2F2023&chegada=14%2F05%2F2024 HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:36:29 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:38:45 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:38:49 -0300] "GET /MVTur_ViagemMVC/cliente HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:38:49 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:38:53 -0300] "GET /MVTur_ViagemMVC/views/usuarios/create.jsp HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Nov/2023:12:38:57 -0300] "GET /MVTur_ViagemMVC/null HTTP/1.1" 404 787
